ReceiptDate;Qty;Month;Year;WeekDay;LastQty;Interval;PeriodsSepLastTwoNnZeroDemands;ZNZDemand
2017-02-24;0;2;2017;4;1.0;18.0;63.0;0
2017-02-25;0;2;2017;5;1.0;19.0;63.0;0
2017-02-26;0;2;2017;6;1.0;20.0;63.0;0
2017-02-27;0;2;2017;0;1.0;21.0;63.0;0
2017-02-28;0;2;2017;1;1.0;22.0;63.0;0
2017-03-01;0;3;2017;2;1.0;23.0;63.0;0
2017-03-02;0;3;2017;3;1.0;24.0;63.0;0
2017-03-03;0;3;2017;4;1.0;25.0;63.0;0
2017-03-04;0;3;2017;5;1.0;26.0;63.0;0
2017-03-05;0;3;2017;6;1.0;27.0;63.0;0
2017-03-06;1;3;2017;0;1.0;28.0;63.0;1
2017-03-07;0;3;2017;1;1.0;1.0;28.0;0
2017-03-08;0;3;2017;2;1.0;2.0;28.0;0
2017-03-09;0;3;2017;3;1.0;3.0;28.0;0
2017-03-10;0;3;2017;4;1.0;4.0;28.0;0
2017-03-11;0;3;2017;5;1.0;5.0;28.0;0
2017-03-12;0;3;2017;6;1.0;6.0;28.0;0
2017-03-13;0;3;2017;0;1.0;7.0;28.0;0
2017-03-14;0;3;2017;1;1.0;8.0;28.0;0
2017-03-15;0;3;2017;2;1.0;9.0;28.0;0
2017-03-16;0;3;2017;3;1.0;10.0;28.0;0
2017-03-17;0;3;2017;4;1.0;11.0;28.0;0
2017-03-18;0;3;2017;5;1.0;12.0;28.0;0
2017-03-19;0;3;2017;6;1.0;13.0;28.0;0
2017-03-20;0;3;2017;0;1.0;14.0;28.0;0
2017-03-21;0;3;2017;1;1.0;15.0;28.0;0
2017-03-22;0;3;2017;2;1.0;16.0;28.0;0
2017-03-23;0;3;2017;3;1.0;17.0;28.0;0
2017-03-24;0;3;2017;4;1.0;18.0;28.0;0
2017-03-25;0;3;2017;5;1.0;19.0;28.0;0
2017-03-26;0;3;2017;6;1.0;20.0;28.0;0
2017-03-27;0;3;2017;0;1.0;21.0;28.0;0
2017-03-28;0;3;2017;1;1.0;22.0;28.0;0
2017-03-29;0;3;2017;2;1.0;23.0;28.0;0
2017-03-30;0;3;2017;3;1.0;24.0;28.0;0
2017-03-31;0;3;2017;4;1.0;25.0;28.0;0
2017-04-01;0;4;2017;5;1.0;26.0;28.0;0
2017-04-02;0;4;2017;6;1.0;27.0;28.0;0
2017-04-03;0;4;2017;0;1.0;28.0;28.0;0
2017-04-04;0;4;2017;1;1.0;29.0;28.0;0
2017-04-05;0;4;2017;2;1.0;30.0;28.0;0
2017-04-06;0;4;2017;3;1.0;31.0;28.0;0
2017-04-07;0;4;2017;4;1.0;32.0;28.0;0
2017-04-08;0;4;2017;5;1.0;33.0;28.0;0
2017-04-09;0;4;2017;6;1.0;34.0;28.0;0
2017-04-10;0;4;2017;0;1.0;35.0;28.0;0
2017-04-11;0;4;2017;1;1.0;36.0;28.0;0
2017-04-12;0;4;2017;2;1.0;37.0;28.0;0
2017-04-13;0;4;2017;3;1.0;38.0;28.0;0
2017-04-14;0;4;2017;4;1.0;39.0;28.0;0
2017-04-15;0;4;2017;5;1.0;40.0;28.0;0
2017-04-16;0;4;2017;6;1.0;41.0;28.0;0
2017-04-17;0;4;2017;0;1.0;42.0;28.0;0
2017-04-18;0;4;2017;1;1.0;43.0;28.0;0
2017-04-19;1;4;2017;2;1.0;44.0;28.0;1
2017-04-20;0;4;2017;3;1.0;1.0;44.0;0
2017-04-21;0;4;2017;4;1.0;2.0;44.0;0
2017-04-22;0;4;2017;5;1.0;3.0;44.0;0
2017-04-23;0;4;2017;6;1.0;4.0;44.0;0
2017-04-24;0;4;2017;0;1.0;5.0;44.0;0
2017-04-25;0;4;2017;1;1.0;6.0;44.0;0
2017-04-26;0;4;2017;2;1.0;7.0;44.0;0
2017-04-27;0;4;2017;3;1.0;8.0;44.0;0
2017-04-28;0;4;2017;4;1.0;9.0;44.0;0
2017-04-29;0;4;2017;5;1.0;10.0;44.0;0
2017-04-30;0;4;2017;6;1.0;11.0;44.0;0
2017-05-01;0;5;2017;0;1.0;12.0;44.0;0
2017-05-02;0;5;2017;1;1.0;13.0;44.0;0
2017-05-03;0;5;2017;2;1.0;14.0;44.0;0
2017-05-04;0;5;2017;3;1.0;15.0;44.0;0
2017-05-05;0;5;2017;4;1.0;16.0;44.0;0
2017-05-06;0;5;2017;5;1.0;17.0;44.0;0
2017-05-07;0;5;2017;6;1.0;18.0;44.0;0
2017-05-08;0;5;2017;0;1.0;19.0;44.0;0
2017-05-09;0;5;2017;1;1.0;20.0;44.0;0
2017-05-10;0;5;2017;2;1.0;21.0;44.0;0
2017-05-11;0;5;2017;3;1.0;22.0;44.0;0
2017-05-12;0;5;2017;4;1.0;23.0;44.0;0
2017-05-13;0;5;2017;5;1.0;24.0;44.0;0
2017-05-14;0;5;2017;6;1.0;25.0;44.0;0
2017-05-15;0;5;2017;0;1.0;26.0;44.0;0
2017-05-16;0;5;2017;1;1.0;27.0;44.0;0
2017-05-17;0;5;2017;2;1.0;28.0;44.0;0
2017-05-18;0;5;2017;3;1.0;29.0;44.0;0
2017-05-19;0;5;2017;4;1.0;30.0;44.0;0
2017-05-20;0;5;2017;5;1.0;31.0;44.0;0
2017-05-21;0;5;2017;6;1.0;32.0;44.0;0
2017-05-22;0;5;2017;0;1.0;33.0;44.0;0
2017-05-23;0;5;2017;1;1.0;34.0;44.0;0
2017-05-24;0;5;2017;2;1.0;35.0;44.0;0
2017-05-25;0;5;2017;3;1.0;36.0;44.0;0
2017-05-26;0;5;2017;4;1.0;37.0;44.0;0
2017-05-27;0;5;2017;5;1.0;38.0;44.0;0
2017-05-28;0;5;2017;6;1.0;39.0;44.0;0
2017-05-29;1;5;2017;0;1.0;40.0;44.0;1
2017-05-30;0;5;2017;1;1.0;1.0;40.0;0
2017-05-31;0;5;2017;2;1.0;2.0;40.0;0
2017-06-01;0;6;2017;3;1.0;3.0;40.0;0
2017-06-02;0;6;2017;4;1.0;4.0;40.0;0
2017-06-03;0;6;2017;5;1.0;5.0;40.0;0
2017-06-04;0;6;2017;6;1.0;6.0;40.0;0
2017-06-05;0;6;2017;0;1.0;7.0;40.0;0
2017-06-06;0;6;2017;1;1.0;8.0;40.0;0
2017-06-07;0;6;2017;2;1.0;9.0;40.0;0
2017-06-08;0;6;2017;3;1.0;10.0;40.0;0
2017-06-09;0;6;2017;4;1.0;11.0;40.0;0
2017-06-10;0;6;2017;5;1.0;12.0;40.0;0
2017-06-11;0;6;2017;6;1.0;13.0;40.0;0
2017-06-12;0;6;2017;0;1.0;14.0;40.0;0
2017-06-13;0;6;2017;1;1.0;15.0;40.0;0
2017-06-14;0;6;2017;2;1.0;16.0;40.0;0
2017-06-15;0;6;2017;3;1.0;17.0;40.0;0
2017-06-16;0;6;2017;4;1.0;18.0;40.0;0
2017-06-17;0;6;2017;5;1.0;19.0;40.0;0
2017-06-18;0;6;2017;6;1.0;20.0;40.0;0
2017-06-19;0;6;2017;0;1.0;21.0;40.0;0
2017-06-20;0;6;2017;1;1.0;22.0;40.0;0
2017-06-21;0;6;2017;2;1.0;23.0;40.0;0
2017-06-22;0;6;2017;3;1.0;24.0;40.0;0
2017-06-23;0;6;2017;4;1.0;25.0;40.0;0
2017-06-24;0;6;2017;5;1.0;26.0;40.0;0
2017-06-25;0;6;2017;6;1.0;27.0;40.0;0
2017-06-26;0;6;2017;0;1.0;28.0;40.0;0
2017-06-27;0;6;2017;1;1.0;29.0;40.0;0
2017-06-28;0;6;2017;2;1.0;30.0;40.0;0
2017-06-29;0;6;2017;3;1.0;31.0;40.0;0
2017-06-30;0;6;2017;4;1.0;32.0;40.0;0
2017-07-01;0;7;2017;5;1.0;33.0;40.0;0
2017-07-02;0;7;2017;6;1.0;34.0;40.0;0
2017-07-03;0;7;2017;0;1.0;35.0;40.0;0
2017-07-04;0;7;2017;1;1.0;36.0;40.0;0
2017-07-05;0;7;2017;2;1.0;37.0;40.0;0
2017-07-06;0;7;2017;3;1.0;38.0;40.0;0
2017-07-07;0;7;2017;4;1.0;39.0;40.0;0
2017-07-08;0;7;2017;5;1.0;40.0;40.0;0
2017-07-09;0;7;2017;6;1.0;41.0;40.0;0
2017-07-10;1;7;2017;0;1.0;42.0;40.0;1
2017-07-11;0;7;2017;1;1.0;1.0;42.0;0
2017-07-12;0;7;2017;2;1.0;2.0;42.0;0
2017-07-13;0;7;2017;3;1.0;3.0;42.0;0
2017-07-14;0;7;2017;4;1.0;4.0;42.0;0
2017-07-15;0;7;2017;5;1.0;5.0;42.0;0
2017-07-16;0;7;2017;6;1.0;6.0;42.0;0
2017-07-17;0;7;2017;0;1.0;7.0;42.0;0
2017-07-18;0;7;2017;1;1.0;8.0;42.0;0
2017-07-19;0;7;2017;2;1.0;9.0;42.0;0
2017-07-20;0;7;2017;3;1.0;10.0;42.0;0
2017-07-21;0;7;2017;4;1.0;11.0;42.0;0
2017-07-22;0;7;2017;5;1.0;12.0;42.0;0
2017-07-23;0;7;2017;6;1.0;13.0;42.0;0
2017-07-24;0;7;2017;0;1.0;14.0;42.0;0
2017-07-25;0;7;2017;1;1.0;15.0;42.0;0
2017-07-26;0;7;2017;2;1.0;16.0;42.0;0
2017-07-27;0;7;2017;3;1.0;17.0;42.0;0
2017-07-28;0;7;2017;4;1.0;18.0;42.0;0
2017-07-29;0;7;2017;5;1.0;19.0;42.0;0
2017-07-30;0;7;2017;6;1.0;20.0;42.0;0
2017-07-31;0;7;2017;0;1.0;21.0;42.0;0
2017-08-01;0;8;2017;1;1.0;22.0;42.0;0
2017-08-02;0;8;2017;2;1.0;23.0;42.0;0
2017-08-03;0;8;2017;3;1.0;24.0;42.0;0
2017-08-04;0;8;2017;4;1.0;25.0;42.0;0
2017-08-05;0;8;2017;5;1.0;26.0;42.0;0
2017-08-06;0;8;2017;6;1.0;27.0;42.0;0
2017-08-07;0;8;2017;0;1.0;28.0;42.0;0
2017-08-08;0;8;2017;1;1.0;29.0;42.0;0
2017-08-09;0;8;2017;2;1.0;30.0;42.0;0
2017-08-10;0;8;2017;3;1.0;31.0;42.0;0
2017-08-11;0;8;2017;4;1.0;32.0;42.0;0
2017-08-12;0;8;2017;5;1.0;33.0;42.0;0
2017-08-13;0;8;2017;6;1.0;34.0;42.0;0
2017-08-14;0;8;2017;0;1.0;35.0;42.0;0
2017-08-15;0;8;2017;1;1.0;36.0;42.0;0
2017-08-16;0;8;2017;2;1.0;37.0;42.0;0
2017-08-17;0;8;2017;3;1.0;38.0;42.0;0
2017-08-18;0;8;2017;4;1.0;39.0;42.0;0
2017-08-19;0;8;2017;5;1.0;40.0;42.0;0
2017-08-20;0;8;2017;6;1.0;41.0;42.0;0
2017-08-21;0;8;2017;0;1.0;42.0;42.0;0
2017-08-22;0;8;2017;1;1.0;43.0;42.0;0
2017-08-23;0;8;2017;2;1.0;44.0;42.0;0
2017-08-24;0;8;2017;3;1.0;45.0;42.0;0
2017-08-25;0;8;2017;4;1.0;46.0;42.0;0
2017-08-26;0;8;2017;5;1.0;47.0;42.0;0
2017-08-27;0;8;2017;6;1.0;48.0;42.0;0
2017-08-28;0;8;2017;0;1.0;49.0;42.0;0
2017-08-29;0;8;2017;1;1.0;50.0;42.0;0
2017-08-30;0;8;2017;2;1.0;51.0;42.0;0
2017-08-31;0;8;2017;3;1.0;52.0;42.0;0
2017-09-01;0;9;2017;4;1.0;53.0;42.0;0
2017-09-02;0;9;2017;5;1.0;54.0;42.0;0
2017-09-03;0;9;2017;6;1.0;55.0;42.0;0
2017-09-04;1;9;2017;0;1.0;56.0;42.0;1
2017-09-05;0;9;2017;1;1.0;1.0;56.0;0
2017-09-06;0;9;2017;2;1.0;2.0;56.0;0
2017-09-07;0;9;2017;3;1.0;3.0;56.0;0
2017-09-08;0;9;2017;4;1.0;4.0;56.0;0
2017-09-09;0;9;2017;5;1.0;5.0;56.0;0
2017-09-10;0;9;2017;6;1.0;6.0;56.0;0
2017-09-11;0;9;2017;0;1.0;7.0;56.0;0
2017-09-12;0;9;2017;1;1.0;8.0;56.0;0
2017-09-13;0;9;2017;2;1.0;9.0;56.0;0
2017-09-14;0;9;2017;3;1.0;10.0;56.0;0
2017-09-15;0;9;2017;4;1.0;11.0;56.0;0
2017-09-16;0;9;2017;5;1.0;12.0;56.0;0
2017-09-17;0;9;2017;6;1.0;13.0;56.0;0
2017-09-18;0;9;2017;0;1.0;14.0;56.0;0
2017-09-19;0;9;2017;1;1.0;15.0;56.0;0
2017-09-20;0;9;2017;2;1.0;16.0;56.0;0
2017-09-21;0;9;2017;3;1.0;17.0;56.0;0
2017-09-22;0;9;2017;4;1.0;18.0;56.0;0
2017-09-23;0;9;2017;5;1.0;19.0;56.0;0
2017-09-24;0;9;2017;6;1.0;20.0;56.0;0
2017-09-25;0;9;2017;0;1.0;21.0;56.0;0
2017-09-26;0;9;2017;1;1.0;22.0;56.0;0
2017-09-27;0;9;2017;2;1.0;23.0;56.0;0
2017-09-28;0;9;2017;3;1.0;24.0;56.0;0
2017-09-29;0;9;2017;4;1.0;25.0;56.0;0
2017-09-30;0;9;2017;5;1.0;26.0;56.0;0
2017-10-01;0;10;2017;6;1.0;27.0;56.0;0
2017-10-02;0;10;2017;0;1.0;28.0;56.0;0
2017-10-03;0;10;2017;1;1.0;29.0;56.0;0
2017-10-04;1;10;2017;2;1.0;30.0;56.0;1
2017-10-05;0;10;2017;3;1.0;1.0;30.0;0
2017-10-06;0;10;2017;4;1.0;2.0;30.0;0
2017-10-07;0;10;2017;5;1.0;3.0;30.0;0
2017-10-08;0;10;2017;6;1.0;4.0;30.0;0
2017-10-09;0;10;2017;0;1.0;5.0;30.0;0
2017-10-10;0;10;2017;1;1.0;6.0;30.0;0
2017-10-11;0;10;2017;2;1.0;7.0;30.0;0
2017-10-12;0;10;2017;3;1.0;8.0;30.0;0
2017-10-13;0;10;2017;4;1.0;9.0;30.0;0
2017-10-14;0;10;2017;5;1.0;10.0;30.0;0
2017-10-15;0;10;2017;6;1.0;11.0;30.0;0
2017-10-16;0;10;2017;0;1.0;12.0;30.0;0
2017-10-17;0;10;2017;1;1.0;13.0;30.0;0
2017-10-18;0;10;2017;2;1.0;14.0;30.0;0
2017-10-19;0;10;2017;3;1.0;15.0;30.0;0
2017-10-20;0;10;2017;4;1.0;16.0;30.0;0
2017-10-21;0;10;2017;5;1.0;17.0;30.0;0
2017-10-22;0;10;2017;6;1.0;18.0;30.0;0
2017-10-23;0;10;2017;0;1.0;19.0;30.0;0
2017-10-24;0;10;2017;1;1.0;20.0;30.0;0
2017-10-25;0;10;2017;2;1.0;21.0;30.0;0
2017-10-26;0;10;2017;3;1.0;22.0;30.0;0
2017-10-27;0;10;2017;4;1.0;23.0;30.0;0
2017-10-28;0;10;2017;5;1.0;24.0;30.0;0
2017-10-29;0;10;2017;6;1.0;25.0;30.0;0
2017-10-30;0;10;2017;0;1.0;26.0;30.0;0
2017-10-31;0;10;2017;1;1.0;27.0;30.0;0
2017-11-01;0;11;2017;2;1.0;28.0;30.0;0
2017-11-02;0;11;2017;3;1.0;29.0;30.0;0
2017-11-03;0;11;2017;4;1.0;30.0;30.0;0
2017-11-04;0;11;2017;5;1.0;31.0;30.0;0
2017-11-05;0;11;2017;6;1.0;32.0;30.0;0
2017-11-06;0;11;2017;0;1.0;33.0;30.0;0
2017-11-07;0;11;2017;1;1.0;34.0;30.0;0
2017-11-08;0;11;2017;2;1.0;35.0;30.0;0
2017-11-09;0;11;2017;3;1.0;36.0;30.0;0
2017-11-10;0;11;2017;4;1.0;37.0;30.0;0
2017-11-11;0;11;2017;5;1.0;38.0;30.0;0
2017-11-12;0;11;2017;6;1.0;39.0;30.0;0
2017-11-13;0;11;2017;0;1.0;40.0;30.0;0
2017-11-14;0;11;2017;1;1.0;41.0;30.0;0
2017-11-15;0;11;2017;2;1.0;42.0;30.0;0
2017-11-16;0;11;2017;3;1.0;43.0;30.0;0
2017-11-17;0;11;2017;4;1.0;44.0;30.0;0
2017-11-18;0;11;2017;5;1.0;45.0;30.0;0
2017-11-19;0;11;2017;6;1.0;46.0;30.0;0
2017-11-20;0;11;2017;0;1.0;47.0;30.0;0
2017-11-21;0;11;2017;1;1.0;48.0;30.0;0
2017-11-22;0;11;2017;2;1.0;49.0;30.0;0
2017-11-23;0;11;2017;3;1.0;50.0;30.0;0
2017-11-24;0;11;2017;4;1.0;51.0;30.0;0
2017-11-25;0;11;2017;5;1.0;52.0;30.0;0
2017-11-26;0;11;2017;6;1.0;53.0;30.0;0
2017-11-27;1;11;2017;0;1.0;54.0;30.0;1
2017-11-28;0;11;2017;1;1.0;1.0;54.0;0
2017-11-29;0;11;2017;2;1.0;2.0;54.0;0
2017-11-30;0;11;2017;3;1.0;3.0;54.0;0
2017-12-01;0;12;2017;4;1.0;4.0;54.0;0
2017-12-02;0;12;2017;5;1.0;5.0;54.0;0
2017-12-03;0;12;2017;6;1.0;6.0;54.0;0
2017-12-04;0;12;2017;0;1.0;7.0;54.0;0
2017-12-05;0;12;2017;1;1.0;8.0;54.0;0
2017-12-06;0;12;2017;2;1.0;9.0;54.0;0
2017-12-07;0;12;2017;3;1.0;10.0;54.0;0
2017-12-08;0;12;2017;4;1.0;11.0;54.0;0
2017-12-09;0;12;2017;5;1.0;12.0;54.0;0
2017-12-10;0;12;2017;6;1.0;13.0;54.0;0
2017-12-11;0;12;2017;0;1.0;14.0;54.0;0
2017-12-12;0;12;2017;1;1.0;15.0;54.0;0
2017-12-13;0;12;2017;2;1.0;16.0;54.0;0
2017-12-14;0;12;2017;3;1.0;17.0;54.0;0
2017-12-15;0;12;2017;4;1.0;18.0;54.0;0
2017-12-16;0;12;2017;5;1.0;19.0;54.0;0
2017-12-17;0;12;2017;6;1.0;20.0;54.0;0
2017-12-18;0;12;2017;0;1.0;21.0;54.0;0
2017-12-19;0;12;2017;1;1.0;22.0;54.0;0
2017-12-20;0;12;2017;2;1.0;23.0;54.0;0
2017-12-21;0;12;2017;3;1.0;24.0;54.0;0
2017-12-22;0;12;2017;4;1.0;25.0;54.0;0
2017-12-23;0;12;2017;5;1.0;26.0;54.0;0
2017-12-24;0;12;2017;6;1.0;27.0;54.0;0
2017-12-25;0;12;2017;0;1.0;28.0;54.0;0
2017-12-26;0;12;2017;1;1.0;29.0;54.0;0
2017-12-27;0;12;2017;2;1.0;30.0;54.0;0
2017-12-28;0;12;2017;3;1.0;31.0;54.0;0
2017-12-29;0;12;2017;4;1.0;32.0;54.0;0
2017-12-30;0;12;2017;5;1.0;33.0;54.0;0
2017-12-31;0;12;2017;6;1.0;34.0;54.0;0
2018-01-01;0;1;2018;0;1.0;35.0;54.0;0
2018-01-02;0;1;2018;1;1.0;36.0;54.0;0
2018-01-03;0;1;2018;2;1.0;37.0;54.0;0
2018-01-04;0;1;2018;3;1.0;38.0;54.0;0
2018-01-05;0;1;2018;4;1.0;39.0;54.0;0
2018-01-06;0;1;2018;5;1.0;40.0;54.0;0
2018-01-07;0;1;2018;6;1.0;41.0;54.0;0
2018-01-08;0;1;2018;0;1.0;42.0;54.0;0
2018-01-09;0;1;2018;1;1.0;43.0;54.0;0
2018-01-10;0;1;2018;2;1.0;44.0;54.0;0
2018-01-11;0;1;2018;3;1.0;45.0;54.0;0
2018-01-12;0;1;2018;4;1.0;46.0;54.0;0
2018-01-13;0;1;2018;5;1.0;47.0;54.0;0
2018-01-14;0;1;2018;6;1.0;48.0;54.0;0
2018-01-15;0;1;2018;0;1.0;49.0;54.0;0
2018-01-16;0;1;2018;1;1.0;50.0;54.0;0
2018-01-17;0;1;2018;2;1.0;51.0;54.0;0
